Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,SwishApi/SwishApi.csproj,File,SwishApi/SwishApi.csproj,,,Newtonsoft.Json 13.0.3,,,,,"Newtonsoft.Json, 13.0.3  Recommendation:  Remove Newtonsoft.Json, and replace with new package Newtonsoft.Json 13.0.4"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,SwishApi/SwishApi.csproj,File,SwishApi/SwishApi.csproj,,,,,,,,Current target framework: net7.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,SwishApiConsoleTest/SwishApiConsoleTest.csproj,File,SwishApiConsoleTest/SwishApiConsoleTest.csproj,,,,,,,,Current target framework: net7.0 Recommended target framework: net10.0
